"model","3d","display_format","diagonal_size","review_date"
"Panasonic TC-P60VT60","Active 3D","1080p","60 in","May. 6, 2013"
"Samsung PN60F8500","Active 3D","1080p","60 in","May. 1, 2013"
"Samsung PN64F8500","Active 3D","1080p","64 in","May. 1, 2013"
"Samsung PN60F8500","Active 3D","1080p","60 in","May. 1, 2013"
"Panasonic TC-P65S60","","1080p","65 in","Apr. 19, 2013"
"Panasonic TC-P55S60","","1080p","55 in","Apr. 19, 2013"
"Panasonic TC-P60S60","","1080p","60 in","Apr. 19, 2013"
"Panasonic TC-P50ST60","Active 3D","1080p","50 in","Apr. 12, 2013"
"Panasonic TC-P50S60","","1080p","50 in","Apr. 19, 2013"
"Panasonic TC-P55ST60","Active 3D","1080p","55 in","Apr. 12, 2013"
"Panasonic TC-P60ST60","Active 3D","1080p","60 in","Apr. 12, 2013"
"Sharp LC-60LE650","","1080p","60 in","Apr. 1, 2013"
"Sharp LC-80LE650U","","1080p (FullHD)","80 in","Apr. 1, 2013"
"Sharp LC-70LE650","","1080p","70 in","Apr. 1, 2013"
"Vizio E420i-A1","","1080p (FullHD)","42 in","Feb. 5, 2013"
"Vizio E470i-A1","","1080p","47 in","Feb. 5, 2013"
"Vizio E500i-A1","","1080p","50 in","Feb. 5, 2013"
"Vizio E390i-A1","","1080p","39 in","Feb. 5, 2013"
"Vizio E701i-A3","","1080p","70 in","Dec. 21, 2012"
"Sharp LC 70LE847U - 70' Class ( 69.5' viewable ) 3D LED TV","Yes","1080p (FullHD)","70 in","Dec. 11, 2012"
"Vizio E601i-A3","","1080p","60 in","Dec. 21, 2012"
"Sharp Quattron LC-60LE847U","Active 3D","1080p","60 in","Dec. 11, 2012"
"Sony XBR-65HX950","Yes","1080p","65 in","Nov. 20, 2012"
"Sony XBR-55HX950","Yes","1080p","55 in","Nov. 20, 2012"
"LG 42CS560 - 42' LCD TV","","1080p (FullHD)","42 in","Nov. 15, 2012"
"LG 55LS4600","","1080p (FullHD)","55 in","Nov. 12, 2012"
"Samsung LN40E550F","No","1080p","40 in","Oct. 29, 2012"
"Toshiba 40E220U","","1080p","40 in","Nov. 7, 2012"
"Samsung LN46E550F","","1080p (FullHD)","46 in","Oct. 29, 2012"
"TCL L40FHDP60","","1080p","40 in","Oct. 10, 2012"
"Sony KDL-46EX645 - 46' LED TV","","1080p (FullHD)","46 in","Oct. 8, 2012"
"Sony KDL-60EX645 - 60' LED TV","","1080p (FullHD)","60 in","Oct. 8, 2012"
"Sony KDL-50EX645","","1080p","50 in","Oct. 8, 2012"
"Philips 50PFL5907/F7","","1080p","50 in","Oct. 5, 2012"
"Philips 42PFL5907/F7","","1080p","42 in","Oct. 5, 2012"
"Philips 55PFL5907/F7","","1080p","55 in","Oct. 5, 2012"
"Panasonic TC-P50X5","","720p","50 in","Oct. 1, 2012"
"Philips 46PFL5907/F7","","1080p","46 in","Oct. 5, 2012"
"Vizio E320i-A0","","720p","32 in","Sep. 28, 2012"
